Source,Target,Type,Id,Label,timeset,Weight
1,0,Undirected,18,,,1
2,0,Undirected,19,,,8
3,0,Undirected,20,,,10
3,2,Undirected,21,,,6
4,0,Undirected,22,,,1
5,0,Undirected,23,,,1
6,0,Undirected,24,,,1
7,0,Undirected,25,,,1
8,0,Undirected,26,,,2
9,0,Undirected,27,,,1
11,10,Undirected,28,,,1
11,3,Undirected,29,,,3
11,2,Undirected,30,,,3
11,0,Undirected,31,,,5
12,11,Undirected,32,,,1
13,11,Undirected,33,,,1
14,11,Undirected,34,,,1
15,11,Undirected,35,,,1
17,16,Undirected,36,,,4
18,16,Undirected,37,,,4
18,17,Undirected,38,,,4
19,16,Undirected,39,,,4
19,17,Undirected,40,,,4
19,18,Undirected,41,,,4
20,16,Undirected,42,,,3
20,17,Undirected,43,,,3
20,18,Undirected,44,,,3
20,19,Undirected,45,,,4
21,16,Undirected,46,,,3
21,17,Undirected,47,,,3
21,18,Undirected,48,,,3
21,19,Undirected,49,,,3
21,20,Undirected,50,,,5
22,16,Undirected,51,,,3
22,17,Undirected,52,,,3
22,18,Undirected,53,,,3
22,19,Undirected,54,,,3
22,20,Undirected,55,,,4
22,21,Undirected,56,,,4
23,16,Undirected,57,,,3
23,17,Undirected,58,,,3
23,18,Undirected,59,,,3
23,19,Undirected,60,,,3
23,20,Undirected,61,,,4
23,21,Undirected,62,,,4
23,22,Undirected,63,,,4
23,12,Undirected,64,,,2
23,11,Undirected,65,,,9
24,23,Undirected,66,,,2
24,11,Undirected,67,,,7
25,24,Undirected,68,,,13
25,23,Undirected,69,,,1
25,11,Undirected,70,,,12
26,24,Undirected,71,,,4
26,11,Undirected,72,,,31
26,16,Undirected,73,,,1
26,25,Undirected,74,,,1
27,11,Undirected,75,,,17
27,23,Undirected,76,,,5
27,25,Undirected,77,,,5
27,24,Undirected,78,,,1
27,26,Undirected,79,,,1
28,11,Undirected,80,,,8
28,27,Undirected,81,,,1
29,23,Undirected,82,,,1
29,27,Undirected,83,,,1
29,11,Undirected,84,,,2
30,23,Undirected,85,,,1
31,30,Undirected,86,,,2
31,11,Undirected,87,,,3
31,23,Undirected,88,,,2
31,27,Undirected,89,,,1
32,11,Undirected,90,,,1
33,11,Undirected,91,,,2
33,27,Undirected,92,,,1
34,11,Undirected,93,,,3
34,29,Undirected,94,,,2
35,11,Undirected,95,,,3
35,34,Undirected,96,,,3
35,29,Undirected,97,,,2
36,34,Undirected,98,,,2
36,35,Undirected,99,,,2
36,11,Undirected,100,,,2
36,29,Undirected,101,,,1
37,34,Undirected,102,,,2
37,35,Undirected,103,,,2
37,36,Undirected,104,,,2
37,11,Undirected,105,,,2
37,29,Undirected,106,,,1
38,34,Undirected,107,,,2
38,35,Undirected,108,,,2
38,36,Undirected,109,,,2
38,37,Undirected,110,,,2
38,11,Undirected,111,,,2
38,29,Undirected,112,,,1
39,25,Undirected,113,,,1
40,25,Undirected,114,,,1
41,24,Undirected,115,,,2
41,25,Undirected,116,,,3
42,41,Undirected,117,,,2
42,25,Undirected,118,,,2
42,24,Undirected,119,,,1
43,11,Undirected,120,,,3
43,26,Undirected,121,,,1
43,27,Undirected,122,,,1
44,28,Undirected,123,,,3
44,11,Undirected,124,,,1
45,28,Undirected,125,,,2
47,46,Undirected,126,,,1
48,47,Undirected,127,,,2
48,25,Undirected,128,,,1
48,27,Undirected,129,,,1
48,11,Undirected,130,,,1
49,26,Undirected,131,,,3
49,11,Undirected,132,,,2
50,49,Undirected,133,,,1
50,24,Undirected,134,,,1
51,49,Undirected,135,,,9
51,26,Undirected,136,,,2
51,11,Undirected,137,,,2
52,51,Undirected,138,,,1
52,39,Undirected,139,,,1
53,51,Undirected,140,,,1
54,51,Undirected,141,,,2
54,49,Undirected,142,,,1
54,26,Undirected,143,,,1
55,51,Undirected,144,,,6
55,49,Undirected,145,,,12
55,39,Undirected,146,,,1
55,54,Undirected,147,,,1
55,26,Undirected,148,,,21
55,11,Undirected,149,,,19
55,16,Undirected,150,,,1
55,25,Undirected,151,,,2
55,41,Undirected,152,,,5
55,48,Undirected,153,,,4
56,49,Undirected,154,,,1
56,55,Undirected,155,,,1
57,55,Undirected,156,,,1
57,41,Undirected,157,,,1
57,48,Undirected,158,,,1
58,55,Undirected,159,,,7
58,48,Undirected,160,,,7
58,27,Undirected,161,,,6
58,57,Undirected,162,,,1
58,11,Undirected,163,,,4
59,58,Undirected,164,,,15
59,55,Undirected,165,,,5
59,48,Undirected,166,,,6
59,57,Undirected,167,,,2
60,48,Undirected,168,,,1
60,58,Undirected,169,,,4
60,59,Undirected,170,,,2
61,48,Undirected,171,,,2
61,58,Undirected,172,,,6
61,60,Undirected,173,,,2
